"storyTitle","issueNum","publicationDate","principleCharacters","creators","description","value","publisher","series","volumeNum","grade","isSlabbed","signatues","authenticated"
"""Y'know, After A Long Hard Day...""","1","Jan 1986","","Bob Rozakis | Stephen DeStefano | Karl Kesel","","0.0","DC Comics","'Mazing Man","0","","","",""
"Take Me Out To The Ballgame","6","Jun 1986","","Bob Rozakis | Stephen DeStefano | Bob Smith","","0.0","DC Comics","'Mazing Man","0","","","",""
